file,title,license,license_url,attribution,source
tudor-succession/Media/tudor-henry-viii-portrait.jpg,"Hans Holbein, the Younger, Around 1497-1543 - Portrait of Henry VIII of England - Google Art Project",Public domain,,Google Arts & Culture — bwFsEOEPkei3Lw,https://commons.wikimedia.org/wiki/File:Hans_Holbein%2C_the_Younger%2C_Around_1497-1543_-_Portrait_of_Henry_VIII_of_England_-_Google_Art_Project.jpg
tudor-succession/Media/tudor-edmund-portrait.jpg,Edmund Tudor portrait,Public domain,,https://www.flickr.com/photos/60861613@N00/3408675887/in/set-72157615784799876/,https://commons.wikimedia.org/wiki/File:Edmund_Tudor%2C_1st_Earl_of_Richmond.jpg
tudor-succession/Media/tudor-margaret-beaufort-portrait.jpg,Margaret Beaufort portrait,Public domain,,"one or more third parties have made copyright claims against Wikimedia Commons in relation to the work from which this is sourced or a purely mechanical reproduction thereof . This may be due to recognition of the "" sweat of the brow "" doctrine, allowing works to be eligible for protection through skill and labour, and not purely by originality as is the case in the United States (where this website is hosted). These claims may or may not be valid in all jurisdictions. As such, use of this image in the jurisdiction of the claimant or other countries may be regarded as copyright infringement . Please see Commons:When to use the PD-Art tag for more information.",https://commons.wikimedia.org/wiki/File:Lady_Margaret_Beaufort_from_NPG.jpg
tudor-succession/Media/tudor-edward-iv-portrait.jpg,Edward IV portrait,Public domain,,"from en:Image:Edward4.JPG , uploaded 19:47, 24 December 2002 by Isis",https://commons.wikimedia.org/wiki/File:Edward4.jpg
tudor-succession/Media/tudor-elizabeth-woodville-portrait.jpg,Elizabeth Woodville portrait,Public domain,,Art UK : entry elizabeth-woodville-c-14371492-2nd-foundress-of-queens-college-wife-of-edward-iv-194554,https://commons.wikimedia.org/wiki/File:ElizabethWoodville.JPG
tudor-succession/Media/tudor-henry-vii-portrait.jpg,Henry VII portrait,Public domain,,"one or more third parties have made copyright claims against Wikimedia Commons in relation to the work from which this is sourced or a purely mechanical reproduction thereof . This may be due to recognition of the "" sweat of the brow "" doctrine, allowing works to be eligible for protection through skill and labour, and not purely by originality as is the case in the United States (where this website is hosted). These claims may or may not be valid in all jurisdictions. As such, use of this image in the jurisdiction of the claimant or other countries may be regarded as copyright infringement . Please see Commons:When to use the PD-Art tag for more information.",https://commons.wikimedia.org/wiki/File:Enrique_VII_de_Inglaterra%2C_por_un_artista_an%C3%B3nimo.jpg
tudor-succession/Media/tudor-elizabeth-york-portrait.jpg,Elizabeth of York portrait,Public domain,,"Scanned from the book The National Portrait Gallery History of the Kings and Queens of England by David Williamson, ISBN 1855142287 .",https://commons.wikimedia.org/wiki/File:Elizabeth_of_York_from_Kings_and_Queens_of_England.jpg
tudor-succession/Media/tudor-margaret-portrait.jpg,Margaret Tudor portrait,Public domain,,Royal Collection,https://commons.wikimedia.org/wiki/File:Daniel_Mytens_%28c._1590-1647%29_-_Margaret_Tudor%2C_Queen_of_Scotland_%281489-1541%29_-_RCIN_401181_-_Royal_Collection.jpg
tudor-succession/Media/tudor-mary-portrait.jpg,Mary Tudor portrait,Public domain,,"https://www.meisterdrucke.fr/fine-art-prints/Unknown-artist/1029832/Marie-Tudor,-reine-de-France---Portrait-de-Marie-Tudor-d'Angleterre-(1496-1534),-troisi%C3%A8me-%C3%A9pouse-de-Louis-XII.-Peinture-anonyme-du-XVIe-si%C3%A8cle.-Paris,-Arts-d%C3%A9coratifs.html",https://commons.wikimedia.org/wiki/File:MaryTudor111.jpg
tudor-succession/Media/tudor-catherine-aragon-portrait.jpg,Catherine of Aragon portrait,Public domain,,https://www.pinterest.jp/pin/505669864392796590/,https://commons.wikimedia.org/wiki/File:Catalina_de_Aragon.jpg
