geoname_id	display_name	aliases	region	country	latitude	longitude	dataset_version
498817	Санкт-Петербург	St Petersburg|Saint Petersburg|Ленинград|Петроград	Санкт-Петербург	Россия	59.93863	30.31413	2026-07-15-seed
524901	Москва	Moscow|Moskva	Москва	Россия	55.75204	37.61781	2026-07-15-seed
551487	Казань	Kazan	Татарстан	Россия	55.78874	49.12214	2026-07-15-seed
587084	Баку	Baku	Баку	Азербайджан	40.37767	49.89201	2026-07-15-seed
588409	Таллин	Tallinn	Харьюмаа	Эстония	59.43696	24.75353	2026-07-15-seed
593116	Вильнюс	Vilnius	Вильнюс	Литва	54.68916	25.27980	2026-07-15-seed
611717	Тбилиси	Tbilisi	Тбилиси	Грузия	41.69411	44.83368	2026-07-15-seed
616052	Ереван	Yerevan	Ереван	Армения	40.18111	44.51361	2026-07-15-seed
625144	Минск	Minsk|Менск	Минск	Беларусь	53.90000	27.56667	2026-07-15-seed
703448	Киев	Kyiv|Kiev	Киев	Украина	50.45466	30.52380	2026-07-15-seed
756135	Варшава	Warsaw|Warszawa	Мазовецкое воеводство	Польша	52.22977	21.01178	2026-07-15-seed
1512569	Ташкент	Tashkent|Toshkent	Ташкент	Узбекистан	41.26465	69.21627	2026-07-15-seed
1526384	Алматы	Almaty|Алма-Ата	Алматы	Казахстан	43.25667	76.92861	2026-07-15-seed
2950159	Берлин	Berlin	Берлин	Германия	52.52437	13.41053	2026-07-15-seed
3067696	Прага	Prague|Praha	Прага	Чехия	50.08804	14.42076	2026-07-15-seed
456172	Рига	Riga	Рига	Латвия	56.94600	24.10589	2026-07-15-seed
5128581	Нью-Йорк	New York|New York City	Нью-Йорк	США	40.71427	-74.00597	2026-07-15-seed
